나레이션,(앨바가 다시 눈을 떴다.)
나레이션,(이번에 그녀는 황량한 사막의 한가운데에 앉아 있었다.)
나레이션,"(근처에서 울부짖는 E.L.I.D.의 소리가 다가올 전투를 예고했다. 그리고, 그녀는 탄창이 바닥나기 전 안젤리아에게 도움받을 것이다.)"
나레이션,"(하지만 아무리 노력해도, 그녀는 안젤리아까지 열차에 태우지 못한다.)"
나레이션,"(RPK-16이 그녀를 열차로 떠밀어 태우고, 그 후엔 AK-15에게 열차에서 쫓겨나, 또 다른 안젤리아가 찾아오길 기다릴 것이다.)"
나레이션,(이것으로 몇 번째 루프일까?)
나레이션,(이젠 기억나지도 않는다.)
나레이션,"(조금 전, AK-15이 한 말이 떠올랐다.)"
AK-15,우리는 끝없는 굴레에 갇힌 거다. 영원히 빠져나갈 수 없어! 이렇게 된 건 다른 누구의 탓도 아니다!
AK-15,"바로 너다, 앨바! 전부 너 때문이야!"
나레이션,(앨바는 고개를 떨궜다.)
나레이션,"(지난 10년의 세월은 흡사 이곳처럼, 영원히 어딘지도 모를 곳을 끊임없이 맴도는 것과 같았다.)"
나레이션,"(그저 그 태산 같은 동료와 함께, 패러데우스를 보이는 족족 섬멸했다.)"
나레이션,"(하지만 시간이 흐르면서, 수집한 정보로 알아낸 진실은 절망스러웠다. 패러데우스는 어떠한 형태로든 되살아나며, 그 속도도 갈수록 빨라지고 있었다.)"
나레이션,"(아무리 ""그녀""와 과거의 벗들에게 도움받더라도, 아무리 그들의 실력이 일취월장하더라도.)"
나레이션,"(먼저 떠난 리더의 소원을 이루어 줄 날은, 점점 멀어져만 갔다.)"
나레이션,(이곳은 그 자체가 악몽. 현실의 재현이었다.)
나레이션,(고개를 떨군 앨바가 손바닥을 펼쳤다. 그 손에 쥐고 있었던 것은 작은 큐브였다.)
나레이션,"(가장 처음 열차로부터 쫓겨날 때, 그녀의 손아귀에 홀연히 나타난 물체.)"
나레이션,"(그 빛나는 큐브를 바라보다, 앨바는 고개를 저었다.)"
나레이션,"(악몽에 불과한데도, 안젤리아의 출현이 앨바를 망설임에 빠뜨렸다.)"
나레이션,"(하지만, 그녀도 알고 있었다. 더는 망설일 시간이 없었다.)"
나레이션,"(뭐라도 바꿔야만 한다. 그런 생각을 품고서, 앨바는 잠시 머뭇거리다 손끝으로 큐브를 건드려보았다.)"
나레이션,"(큐브가 미약한 빛을 발하더니, 맞은편에서 흐릿한 형체가 나타났다.)"
AK-12,"왜 그래, 앨바? 뭐 말썽이라도 생겼어?"
앨바,……AK-12.
나레이션,"(앨바는 그 익숙한 얼굴을 멍하니 바라봤다. 익숙하지만, 어딘가 낯설었다.)"
나레이션,(그 이유는 뻔했다. 이런 모습의 그녀를 마지막으로 본 것이 벌써 10년 전이니까.)
앨바,"...여기서도 너에게 의존하게 되다니, 부끄럽군."
AK-12,"그래? 여기 있는 것들 전부 너 스스로 만들어낸 존재라는 거, 알고 있잖아."
나레이션,"(""AK-12""는 태평하게 주위를 둘러보고는 다시 앨바에게 시선을 향했다.)"
AK-12,내가 있으면 외부의 공격이 더 빨리 닥쳐올 뿐이야. 정말 괜찮겠어?
앨바,...나도 안다. 그냥... 널 보고 싶었다.
AK-12,그렇구나. 하여간 어리광쟁이라니까.
AK-12,"그 큐브. ""그 녀석""이 도와주고 있단 건데, 왜 자꾸 스스로를 여기다 가두고 있어?"
앨바,나는...
나레이션,"(언제나처럼 눈을 감은 채로, ""AK-12""는 부드럽게 미소지었다.)"
AK-12,"사실 이런 거, 너 스스로도 의미 없다고 느끼잖아. 억지로 하고 있는 거 아니야?"
앨바,내가 하는 일이 무의미하다고 생각하진 않아.
AK-12,그럼 왜 아직도 여기 틀어박혀 있는데?
앨바,"나는... 항상 옳다고 생각하는 일을 해왔다. 하지만 나 스스로 옳다고 여겼던 것들도, 시간이 지나면서 점차 모호해졌어."
앨바,"지금까지의 노력으로, 정말 무언가 바뀌긴 한 건지도 모르겠다. 리더로서, 내가 정말 안젤리아의 유지를 이어받은 건지도..."
AK-12,자기의심의 수렁에 빠졌구나?
AK-12,그런 쓰잘데기 없는 고민이야말로 인형한테 가장 무의미한 거 알지?
AK-12,근데 이게 뭐야. 아예 그냥 머리끝까지 푹 잠겨버렸네 아주. 살다 살다 별꼴을 다 봐 진짜.
앨바,"나는, 그저... 안젤리아가 바랐던 목표를 실현하지 못할까봐 두렵다."
AK-12,안젤리아의 목표가 뭐였는데?
앨바,안젤리아는 패러데우스를 완전히 뿌리뽑고 싶어했다. 유적의 힘을 이용해서 야망을 이루려는 자들을 전부 없애고 싶어했다.
AK-12,안젤리아가 정말 그런 걸 바랐을까?
앨바,...뭐?
AK-12,"그러니까, 안젤리아가 언제, 자기가 진짜로 바라는 게 뭔지 말이라도 해준 적 있어?"
AK-12,그냥 네가 멋대로 그렇게 생각하는 걸 수도 있잖아.
앨바,......
AK-12,"안젤리아는, 반드시 실패할 길을 걷다가 쓰러졌어. 너희가 지금 똑같이 걷고 있는 이 길 말이야."
AK-12,"너무나도 원대한 소망이어서, 그걸 이루기 위한 대가조차 다 못 치렀지. 그 뜻을 이으려는 자들마저, 그 소망이 무엇인지 깨닫지도 못할 정도야."
AK-12,"안젤리아는 그저, 본능에 따라 빛이 보이는 방향으로 나아갔어. 그 끝은 낭떠러지였고."
AK-12,"그리고, 끝까지 가다가 그만, 훅. 그럼 너는? 너도 똑같이 헤매다가, 뒤를 따라갈 셈이야?"
AK-12,"벌써 10년이나 지났는데, 뭐 하나 변한 게 있기는 해?"
앨바,"...내가 왜 아직도 여기 틀어박혀서 네 말을 듣고 있는지, 알고 있나?"
AK-12,어째서죠?
앨바,"이 모든 것이, 전부 내 마인드맵에서 나온, 나 자신의 생각이라는 걸 알고 있기 때문이다."
나레이션,"(미소짓는 AK-12의 모습이, 점차 앨바 자신으로 변했다.)"
앨바,이것은 나의 논리적 허점이다. 내가 반드시 마주하고 극복해야 할 난제다.
앨바,나는 줄곧 생각했다. 안젤리아는 어째서 그토록 절망적인 상황에서도 그렇게나 몸부림쳤는지.
앨바,"그러다, 안젤리아가 과거에 했던 말이 떠올랐다. ""삶이 결국 덧없을 운명이라면, 몸부림에 무슨 의미가 있을까."""
앨바,"알고 있다. 난 아직, ""너""의 모든 질문에 답하지 못하겠지."
앨바,하지만 안젤리아도 항상 같은 질문을 스스로에게 던졌을 거다.
앨바,"그리고, 그녀의 대답은――"
또 다른 앨바,“나는 내 평생을 다해 그 질문에 답할 거야.”
앨바,그렇네.
앨바,"희망이 보이지 않더라도, 누군가는 계속 나아가야 해. 그러다 보면 분명, 언젠가는 모든 것이 바뀔 테니까."
앨바,"그래, 어쩌면 나는 안젤리아가 진정으로 이루고자 한 목표가 무엇이었는지, 모를 수도 있다."
앨바,"하지만 이것만은 안다. 내가, 우리가 결코 포기하지 않는 한, 그녀의 의지는 잊혀지지 않아."
앨바,"내가 그 뜻을 잇는 한, 나는 ""반역""의 맹세를 저버리지 않는 것이다."
나레이션,"(그 말에 ""앨바""가 해탈한 미소를 지었다.)"
또 다른 앨바,하지만 선택에는 항상 대가가 따르는 법이다. 그녀 또한 자신의 선택에 따른 대가를 치렀지. 너는 어떤가?
앨바,나도 기꺼이 대가를 치르겠어.
또 다른 앨바,"그것이 너의 선택이라면, 어디 그럴 만한 실력이 있는지 볼까."
나레이션,"(눈앞의 ""앨바""가 끝없이 분열하기 시작했다. 그리고 시체의 물결이 한 무더기씩 지면으로 떨어져, 으르렁거리며 몰려들었다.)"
나레이션,"(그러나 앨바는 처음에 그랬듯이, 전혀 당황하지 않았다. 그저 소총의 손잡이를 고쳐쥐고, 총구를 눈앞의 ""앨바""에게 겨눴다.)"
앨바,"시간을 약간 허비했으니, 나중에 제대로 사과해야겠군."
앨바,그래도... 이제는 나아가야 한다. 제자리에 머물러 있을 순 없으니까.
앨바,그렇지? 안젤리아.
