,【DATA 3】
페리,도중에 나가면 어떡해!
페리,"네가 갑자기 나가서 모프들이 폭주하고, 경기도 엉망진창이 됐잖아..."
??,사브리나가 이번 앵커 필드야. 앵커가 도중에 탈락했으니 이번 연산은 더 이상 진행할 수 없어. 무의미한 연산은 즉시 멈췄어야 해.
페리,하지만...
??,우린 시간이 넉넉하지 않아. 여기서 하는 소꿉놀이는 아무 의미도 없어.
나레이션,(연산 공간은 종료 코드를 얻기 위해 만들어진 것. 달콤한 꿈에 빠져들기 위한 것이 아니다.)
나레이션,(그 점은 둘 다 잘 알고 있었다.)
페리,가상과 현실은 구분할 줄 알아...
페리,"하지만... 이런 ""소꿉놀이"" 덕분에, 내게 즐거운 추억이 있었다는 걸 깨닫게 돼. 그 덕분에 계속 나아갈 수 있는 힘이 생겨."
페리,"그런데, 마지막에 프로세스 정리를 할 때 스프링필드 씨가 안 보였어. 연산에 영향이 있을까?"
??,모르겠어.
??,시스템이 이상 데이터를 미리 회수했을 가능성도 있어. 아직 종료 코드 연산에 영향은 없어.
페리,후우... 그럼 다행이고. 점점 연산 성공에 다가가고 있네.
페리,"네가 도와준 덕분이야. 어쩌면 다음번엔 정확한 종료 코드를 연산해내서, 드디어 덮어쓰기에서 탈출할 수 있을지도."
??,그건 너무 낙관적인 전망이야.
페리,다음번에 안 되면 다다음번엔 될지도 모르잖아!
??,덮어쓰기 프로그램에는 분명 보호 장치가 있어. 그 장치가 언제 활성화될지 우리는 알 수 없어.
??,그것이 활성화되면 나는 즉시 이 환경에서 퇴출될 거야. 서둘러야 해.
페리,으아아악!!
나레이션,"(덮어쓰기의 영향으로, 페리는 온몸이 바스러지고 불타는 것만 같았다.)"
나레이션,"(페리는 기억을 잃고 싶지 않아, 필사적으로 마인드맵 기록을 계속 끄집어냈다.)"
나레이션,"(적어도 자신이 무엇을 하고 있는지, 자신이 어디에 있는지 기억해야 한다. 그래야 빠져나갈 기회가 있다.)"
나레이션,"(페리는 스스로 기운을 북돋웠지만, 현실과 가상의 기록은 마인드맵이 점점 붕괴되면서 서서히 뒤섞여갔다...)"
